"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","22247412282.0173","23595196297.5698","24881849659.0783","24768414727.2514","27481246818.534","27922666606.9652","28639388964.5104","28102153000.1176","30768893886.4234","31144538360.9775","32894815414.1392","31092349586.6862","26747589008.3516","27637128279.6545","30288069546.9295","29049828419.5728","30694444134.7326","31514923830.696","33744238404.0341","35364513430.9366","35654198967.1818","38233403645.3379","39049429821.903","40564956312.155","42513416921.3803","43934221544.8745","45767764684.2624","47494308687.0718","48641893176.7726","50021660425.8707","52834007311.7356","54675392830.531","57651202535.9184","60367474528.3116","62715845616.4939","65927698356.0694","68909554894.7529","72003522586.3163","75731164300.4423","79267928092.791","83463813143.9597","87701511126.0789","91063218744.8437","95379221373.1041","100376647066.681","106937209452.103","114071958456.596","122123840982.243","129468112024.815","135999939845.132","143577568429.643","152858966788.2","162827601299.735","172619411144.635","183081976119.336","195078678697.23","208955558005.097","222726251662.224","239028505057.03","257868529012.752","266759891218.36","285269493338.043",
"Bulgaria","BGR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","30380970883.0197","31869687630.9227","32613706392.5414","33732456291.6572","34878160151.893","35814094911.0179","37321009485.9442","39580615170.0295","43912591617.5471","42467919140.2177","38595958807.5267","35336392994.7858","32766593402.8565","32281577420.0862","32868460156.4271","33806871457.7194","35566651552.9359","30546283155.747","31703719111.3126","29041845953.2986","30374060870.5509","31535474948.9912","33387216050.7821","35135756064.3845","37423243595.5566","40063957719.338","42789344253.0039","45609752890.501","48399253570.6189","46815700521.4237","47537505667.6491","48536366470.1882","48902782248.9232","48628685105.4183","49098860802.5391","50781996712.7635","52325680684.652","53771005440.9431","55214529018.3632","57443866470.1882","54923717977.7828","57218361482.657",
"Bahrain","BHR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7719989594.2972","7309541111.89847","6757216271.72362","7188081842.37558","7547748015.19352","7188605896.05476","7273646666.44917","8030033862.1097","8592135561.90565","8623411548.67152","9006118309.71319","10017505286.0204","10687676226.0298","12063180869.1514","12033022737.8954","12505919514.1411","13019913570.9245","13422619469.9058","14065563316.8115","14670382393.2056","15447922937.5299","15832722681.7137","16362889422.8255","17393169261.3715","18607379553.6075","19866912679.454","21151705946.6711","22906020071.8799","24336503493.4839","24954622922.9927","26036230937.9271","26552663487.0358","27542575573.0076","29034512771.3789","30297627559.0615","31050638297.8723","32155459790.271","33535234420.6161","34243206973.6781","34985245170.2699","33258424204.4726","33998540960.6733",
"Bahamas, The","BHS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","2202354444.68328","2437281738.94449","2692025741.28975","2975336016.3498","3287792927.54132","3630564951.60748","3959927215.79835","4340005538.98728","4705510544.22122","5128143623.82552","4838421482.22546","4917118830.51938","4745150666.81204","5104243209.29092","4249066609.45372","3620071912.19868","3807779336.91169","4156378840.09251","4745733414.75673","5986234708.4335","6375057529.20037","5786868897.47608","6174525328.25248","6396626206.90889","7303101613.5781","7655781544.46962","7793355956.23678","8025950172.29877","8211326158.29321","8763729149.89786","8623838203.34883","8263207849.83172","7947092060.21947","7971553709.56762","8222571209.48313","8582617218.20914","8945106667.70758","9560148893.02768","9129598350.39419","10243182778.5635","10668196405.7825","10948253587.4492","11244367823.818","11102179835.973","11200183238.8101","11580458589.4797","11871921816.9003","12043676933.0589","11763841228.0088","11272606092.4321","11446022283.215","11516230370.6712","11871722487.9454","11531800176.8168","11744827460.4753","11861900000","11760164716.1735","12118868244.3881","12340765666.5406","12574766785.7893","9579129439.06867","10893360608.0296",
"Bosnia and Herzegovina","BIH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2437270622.94338","2944222852.60411","5563334789.51549","7476541926.69919","8642882219.44854","9472598888.00635","10681820605.9231","10940674571.6555","11490710881.6521","11935072619.9932","12689997730.6252","13184549529.1047","13898361511.4036","14712406104.6182","15513324634.0633","15047233632.1343","15177492908.2038","15323122659.7073","15197191648.7008","15554303869.284","15733777374.3334","16219819343.5214","16730712406.208","17261316072.6383","17906901889.0163","18413846532.645","17839465167.59","19106466590.1522",
"Belarus","BLR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29452556633.7413","29099127258.7491","26305610635.692","24306383742.7746","21462535897.5156","19230432058.6858","19768885050.6478","22022539015","23872430402.7966","24684092836.7343","26115771070.4161","27349821166.1531","28729692799.2932","30753180384.6838","34274340535.4692","37496129067.9992","41245740029.6776","44792876368.1538","49361749506.6609","49460470690.6153","53317530166.8315","56185324133.9697","57133246703.6914","57706562174.7975","58702799524.0454","56454734396.5842","55028435771.7374","56421856742.7841","58198692497.6768","59013474192.6442","58482352924.7647","59948354831.6356",
"Belize","BLZ","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","109956947.647758","115336346.348267","120979352.612535","126975614.614211","133324242.860431","139897849.266032","146572158.970876","153773429.662421","165102264.918838","173533005.354011","181875940.13647","189077210.828015","208397694.720824","219550918.67181","249321990.688268","258279692.110143","258191822.922223","274965498.139856","296744985.055126","319051369.421894","361921286.594705","366024644.545251","365630397.831679","357794280.377211","364850216.245188","368544375.450208","385274288.743506","426634655.38534","468392424.369166","529326630.611212","589899534.598212","657525832.091977","736812430.437797","783053161.718021","784293686.587245","789348356.857198","800629032.42855","829008556.394523","860017738.942432","935517448.490283","1057317866.55147","1110277699.85576","1167141707.94566","1276104583.78272","1335446464.85083","1364799729.36204","1427000694.63579","1443646918.23306","1483419956.2937","1487867420.61358","1537361344.97338","1562013004.34643","1599943521.47455","1613476520.0479","1685525442.02996","1734320479.1395","1731207254.11558","1768057672.76602","1804209204.16619","1839661848.31609","1531516106.15297","1680887372.09637",
"Bermuda","BMU","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1684353374.03431","1763181111.92075","1841995307.60412","1861704657.40225","2068540044.85568","2167002550.99883","2478262917.43354","2807253304.72231","2866353374.30658","2964853490.1743","3152003710.52447","3260353838.09562","3319453907.67989","3368703965.66677","3398254000.45891","3526304151.11876","3841504522.23484","4068054788.86847","4127154858.45273","4215804962.82913","4550705357.03391","4659055484.60506","4412805194.77668","4501455299.15308","4523125324.58246","4432505217.97143","4728005565.7867","4905305774.5395","5104276008.72168","5126931035.37444","5127916036.59781","4946675890.08297","4943720834.23487","5092455993.93519","5122991040.76808","5348359015.58225","5487441777.63634","5739864145.64664","5963718852.73555","6165450410.7722","6739895068.97791","7226679645.63174","7119884453.30351","7362722827.73814","7533631299.4758","7659759815.30576","8084406664.52899","8354841362.08309","8198943712.90485","7737613934.72433","7543950875.42882","7261600082.73073","6876350478.40565","6857116738.50431","6603330213.03728","6654541000","6610806937.02849","6849550930.14215","6819905984.64909","6840793088.0543","6371962193.73338","6490008530.00809",
"Bolivia","BOL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","4727739746.57154","4826516220.94735","5095783596.36433","5442175895.64954","5657500838.41073","5935478858.29048","6361087691.7343","6762931564.89177","7339771963.56157","7668160505.07993","8069284227.95154","8477859236.6012","9153331417.37735","9678655892.40561","9963166545.29281","10691575418.0281","11184945381.0081","11740973137.016","11981979454.6341","11997956711.0459","11833371991.0655","11865986702.0009","11398616583.2799","10937870663.0725","10915922108.5205","10732928705.7646","10456675549.5767","10714274143.0459","11026005730.7249","11443905787.9669","11974420933.7407","12605057005.5101","12812599040.0935","13359606833.3496","13983135100.9362","14637304837.9041","15275687754.507","16032477212.7938","16838807367.9087","16910689781.9002","17334777888.1262","17626660726.9117","18064782966.6648","18554580623.7088","19328918118.4657","20183533307.223","21151739180.8768","22117185836.643","23477060537.7351","24265185360.0464","25266542246.0612","26581436461.7176","27943010890.6533","29842021104.1396","31471565408.6312","33000198248.9146","34407300587.1524","35850757840.6068","37364958928.4415","38193230080.2463","34855949803.3644","36984185851.9533",
"Brazil","BRA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","188463840495.972","204671730778.626","218180065010.015","219489145400.075","226951776343.678","232398618975.926","247969326447.313","258384038158.1","283705673897.594","310657712917.865","342966115061.323","381868493955.806","427464921480.414","487176307067.733","526900364431.798","554123457284.639","610960618080.963","641107419354.292","672969802174.375","718459600555.531","784557883806.638","751214173744.859","757449251386.938","735255988321.301","774959811690.65","835794156908.37","898395139260.805","930108487676.71","929550422584.105","958924215937.766","917211012544.471","926678369092.735","921636571083.558","967024315178.796","1023622994738.33","1066858717622.64","1090424176305.99","1127442397678.23","1131254256770.5","1136547820412.59","1186418964175.19","1202908958700.07","1239639324926.44","1253781489825.37","1325998860262.8","1368459094911.19","1422677289738.78","1509031960385.82","1585904997822.47","1583909738979.16","1703150040884.74","1770840429187.27","1804861390247.16","1859094274468.6","1868463286781.87","1802211999538.68","1743173031958.05","1766232928553.89","1797736638228.88","1819683008419.28","1749103394213.21","1829901854572.88",
