DATE,CPILFESL
1957-01-01,28.5
1957-02-01,28.6
1957-03-01,28.7
1957-04-01,28.8
1957-05-01,28.8
1957-06-01,28.9
1957-07-01,29
1957-08-01,29
1957-09-01,29.1
1957-10-01,29.2
1957-11-01,29.3
1957-12-01,29.3
1958-01-01,29.3
1958-02-01,29.4
1958-03-01,29.5
1958-04-01,29.5
1958-05-01,29.5
1958-06-01,29.6
1958-07-01,29.6
1958-08-01,29.6
1958-09-01,29.7
1958-10-01,29.7
1958-11-01,29.8
1958-12-01,29.9
1959-01-01,29.9
1959-02-01,29.9
1959-03-01,30
1959-04-01,30
1959-05-01,30.1
1959-06-01,30.2
1959-07-01,30.2
1959-08-01,30.2
1959-09-01,30.3
1959-10-01,30.4
1959-11-01,30.4
1959-12-01,30.5
1960-01-01,30.5
1960-02-01,30.6
1960-03-01,30.6
1960-04-01,30.6
1960-05-01,30.6
1960-06-01,30.7
1960-07-01,30.6
1960-08-01,30.6
1960-09-01,30.6
1960-10-01,30.8
1960-11-01,30.8
1960-12-01,30.7
1961-01-01,30.8
1961-02-01,30.8
1961-03-01,30.9
1961-04-01,30.9
1961-05-01,30.9
1961-06-01,31
1961-07-01,31
1961-08-01,31.1
1961-09-01,31.1
1961-10-01,31.1
1961-11-01,31.2
1961-12-01,31.2
1962-01-01,31.2
1962-02-01,31.2
1962-03-01,31.3
1962-04-01,31.3
1962-05-01,31.4
1962-06-01,31.4
1962-07-01,31.4
1962-08-01,31.5
1962-09-01,31.5
1962-10-01,31.5
1962-11-01,31.5
1962-12-01,31.6
1963-01-01,31.5
1963-02-01,31.6
1963-03-01,31.7
1963-04-01,31.7
1963-05-01,31.7
1963-06-01,31.8
1963-07-01,31.8
1963-08-01,31.9
1963-09-01,31.9
1963-10-01,32
1963-11-01,32
1963-12-01,32.1
1964-01-01,32.2
1964-02-01,32.2
1964-03-01,32.2
1964-04-01,32.2
1964-05-01,32.2
1964-06-01,32.3
1964-07-01,32.3
1964-08-01,32.3
1964-09-01,32.3
1964-10-01,32.4
1964-11-01,32.5
1964-12-01,32.5
1965-01-01,32.6
1965-02-01,32.6
1965-03-01,32.6
1965-04-01,32.7
1965-05-01,32.7
1965-06-01,32.7
1965-07-01,32.7
1965-08-01,32.7
1965-09-01,32.8
1965-10-01,32.8
1965-11-01,32.9
1965-12-01,33
1966-01-01,33
1966-02-01,33.1
1966-03-01,33.1
1966-04-01,33.3
1966-05-01,33.4
1966-06-01,33.5
1966-07-01,33.6
1966-08-01,33.7
1966-09-01,33.8
1966-10-01,34
1966-11-01,34
1966-12-01,34.1
1967-01-01,34.2
1967-02-01,34.2
1967-03-01,34.3
1967-04-01,34.4
1967-05-01,34.5
1967-06-01,34.6
1967-07-01,34.7
1967-08-01,34.9
1967-09-01,35
1967-10-01,35.1
1967-11-01,35.2
1967-12-01,35.4
1968-01-01,35.5
1968-02-01,35.7
1968-03-01,35.8
1968-04-01,35.9
1968-05-01,36
1968-06-01,36.2
1968-07-01,36.4
1968-08-01,36.5
1968-09-01,36.7
1968-10-01,36.9
1968-11-01,37.1
1968-12-01,37.2
1969-01-01,37.3
1969-02-01,37.6
1969-03-01,37.8
1969-04-01,38.1
1969-05-01,38.1
1969-06-01,38.3
1969-07-01,38.5
1969-08-01,38.7
1969-09-01,38.9
1969-10-01,39.1
1969-11-01,39.2
1969-12-01,39.4
1970-01-01,39.6
1970-02-01,39.8
1970-03-01,40.1
1970-04-01,40.4
1970-05-01,40.5
1970-06-01,40.8
1970-07-01,40.9
1970-08-01,41.1
1970-09-01,41.3
1970-10-01,41.5
1970-11-01,41.8
1970-12-01,42
1971-01-01,42.1
1971-02-01,42.2
1971-03-01,42.2
1971-04-01,42.4
1971-05-01,42.6
1971-06-01,42.8
1971-07-01,42.9
1971-08-01,43
1971-09-01,43
1971-10-01,43.1
1971-11-01,43.2
1971-12-01,43.3
1972-01-01,43.5
1972-02-01,43.6
1972-03-01,43.6
1972-04-01,43.8
1972-05-01,43.9
1972-06-01,44
1972-07-01,44.1
1972-08-01,44.3
1972-09-01,44.3
1972-10-01,44.4
1972-11-01,44.4
1972-12-01,44.6
1973-01-01,44.6
1973-02-01,44.8
1973-03-01,45
1973-04-01,45.1
1973-05-01,45.3
1973-06-01,45.4
1973-07-01,45.5
1973-08-01,45.7
1973-09-01,46
1973-10-01,46.3
1973-11-01,46.5
1973-12-01,46.7
1974-01-01,46.9
1974-02-01,47.2
1974-03-01,47.6
1974-04-01,47.9
1974-05-01,48.5
1974-06-01,49
1974-07-01,49.5
1974-08-01,50.2
1974-09-01,50.7
1974-10-01,51.2
1974-11-01,51.6
1974-12-01,52
1975-01-01,52.3
1975-02-01,52.8
1975-03-01,53
1975-04-01,53.3
1975-05-01,53.5
1975-06-01,53.8
1975-07-01,54
1975-08-01,54.2
1975-09-01,54.5
1975-10-01,54.8
1975-11-01,55.2
1975-12-01,55.5
1976-01-01,55.9
1976-02-01,56.2
1976-03-01,56.5
1976-04-01,56.7
1976-05-01,57
1976-06-01,57.2
1976-07-01,57.6
1976-08-01,57.9
1976-09-01,58.2
1976-10-01,58.5
1976-11-01,58.7
1976-12-01,58.9
1977-01-01,59.3
1977-02-01,59.7
1977-03-01,60
1977-04-01,60.3
1977-05-01,60.6
1977-06-01,61
1977-07-01,61.2
1977-08-01,61.5
1977-09-01,61.8
1977-10-01,62
1977-11-01,62.3
1977-12-01,62.7
1978-01-01,63.1
1978-02-01,63.4
1978-03-01,63.8
1978-04-01,64.3
1978-05-01,64.7
1978-06-01,65.2
1978-07-01,65.6
1978-08-01,66.1
1978-09-01,66.7
1978-10-01,67.2
1978-11-01,67.6
1978-12-01,68
1979-01-01,68.5
1979-02-01,69.2
1979-03-01,69.8
1979-04-01,70.3
1979-05-01,70.8
1979-06-01,71.3
1979-07-01,71.9
1979-08-01,72.7
1979-09-01,73.3
1979-10-01,74
1979-11-01,74.8
1979-12-01,75.7
1980-01-01,76.7
1980-02-01,77.5
1980-03-01,78.6
1980-04-01,79.5
1980-05-01,80.1
1980-06-01,81
1980-07-01,80.8
1980-08-01,81.3
1980-09-01,82.1
1980-10-01,83
1980-11-01,83.9
1980-12-01,84.9
1981-01-01,85.4
1981-02-01,85.9
1981-03-01,86.4
1981-04-01,87
1981-05-01,87.8
1981-06-01,88.6
1981-07-01,89.8
1981-08-01,90.7
1981-09-01,91.8
1981-10-01,92.1
1981-11-01,92.5
1981-12-01,93
1982-01-01,93.3
1982-02-01,93.8
1982-03-01,93.9
1982-04-01,94.7
1982-05-01,95.4
1982-06-01,96.1
1982-07-01,96.7
1982-08-01,97.1
1982-09-01,97.2
1982-10-01,97.5
1982-11-01,97.3
1982-12-01,97.2
1983-01-01,97.6
1983-02-01,98
1983-03-01,98.2
1983-04-01,98.6
1983-05-01,98.9
1983-06-01,99.2
1983-07-01,99.8
1983-08-01,100.1
1983-09-01,100.5
1983-10-01,101
1983-11-01,101.5
1983-12-01,101.8
1984-01-01,102.5
1984-02-01,102.8
1984-03-01,103.2
1984-04-01,103.7
1984-05-01,104.1
1984-06-01,104.5
1984-07-01,105
1984-08-01,105.4
1984-09-01,105.8
1984-10-01,106.2
1984-11-01,106.4
1984-12-01,106.8
1985-01-01,107.1
1985-02-01,107.7
1985-03-01,108.1
1985-04-01,108.4
1985-05-01,108.8
1985-06-01,109.1
1985-07-01,109.4
1985-08-01,109.8
1985-09-01,110
1985-10-01,110.5
1985-11-01,111.1
1985-12-01,111.4
1986-01-01,111.9
1986-02-01,112.2
1986-03-01,112.5
1986-04-01,112.9
1986-05-01,113.1
1986-06-01,113.4
1986-07-01,113.8
1986-08-01,114.2
1986-09-01,114.6
1986-10-01,115
1986-11-01,115.3
1986-12-01,115.6
1987-01-01,115.9
1987-02-01,116.2
1987-03-01,116.6
1987-04-01,117.3
1987-05-01,117.7
1987-06-01,117.9
1987-07-01,118.3
1987-08-01,118.7
1987-09-01,119.2
1987-10-01,119.8
1987-11-01,120.1
1987-12-01,120.4
1988-01-01,120.9
1988-02-01,121.2
1988-03-01,121.7
1988-04-01,122.3
1988-05-01,122.7
1988-06-01,123.2
1988-07-01,123.6
1988-08-01,124.0
1988-09-01,124.7
1988-10-01,125.2
1988-11-01,125.6
1988-12-01,126.0
1989-01-01,126.5
1989-02-01,126.9
1989-03-01,127.4
1989-04-01,127.8
1989-05-01,128.3
1989-06-01,128.8
1989-07-01,129.2
1989-08-01,129.5
1989-09-01,129.9
1989-10-01,130.6
1989-11-01,131.1
1989-12-01,131.6
1990-01-01,132.1
1990-02-01,132.7
1990-03-01,133.5
1990-04-01,134.0
1990-05-01,134.4
1990-06-01,135.1
1990-07-01,135.8
1990-08-01,136.6
1990-09-01,137.1
1990-10-01,137.6
1990-11-01,138.0
1990-12-01,138.6
1991-01-01,139.5
1991-02-01,140.2
1991-03-01,140.5
1991-04-01,140.9
1991-05-01,141.3
1991-06-01,141.8
1991-07-01,142.3
1991-08-01,142.9
1991-09-01,143.4
1991-10-01,143.7
1991-11-01,144.2
1991-12-01,144.7
1992-01-01,145.1
1992-02-01,145.4
1992-03-01,145.9
1992-04-01,146.3
1992-05-01,146.8
1992-06-01,147.1
1992-07-01,147.6
1992-08-01,147.9
1992-09-01,148.1
1992-10-01,148.8
1992-11-01,149.2
1992-12-01,149.6
1993-01-01,150.1
1993-02-01,150.6
1993-03-01,150.8
1993-04-01,151.4
1993-05-01,151.8
1993-06-01,152.1
1993-07-01,152.3
1993-08-01,152.8
1993-09-01,152.9
1993-10-01,153.4
1993-11-01,153.9
1993-12-01,154.3
1994-01-01,154.5
1994-02-01,154.8
1994-03-01,155.3
1994-04-01,155.5
1994-05-01,155.9
1994-06-01,156.4
1994-07-01,156.7
1994-08-01,157.1
1994-09-01,157.5
1994-10-01,157.8
1994-11-01,158.2
1994-12-01,158.3
1995-01-01,159.0
1995-02-01,159.4
1995-03-01,159.9
1995-04-01,160.4
1995-05-01,160.7
1995-06-01,161.1
1995-07-01,161.4
1995-08-01,161.8
1995-09-01,162.2
1995-10-01,162.7
1995-11-01,163.0
1995-12-01,163.1
1996-01-01,163.7
1996-02-01,164.0
1996-03-01,164.4
1996-04-01,164.6
1996-05-01,165.0
1996-06-01,165.4
1996-07-01,165.7
1996-08-01,166.0
1996-09-01,166.5
1996-10-01,166.8
1996-11-01,167.2
1996-12-01,167.4
1997-01-01,167.8
1997-02-01,168.1
1997-03-01,168.4
1997-04-01,168.9
1997-05-01,169.2
1997-06-01,169.4
1997-07-01,169.7
1997-08-01,169.8
1997-09-01,170.2
1997-10-01,170.6
1997-11-01,170.8
1997-12-01,171.2
1998-01-01,171.6
1998-02-01,171.9
1998-03-01,172.2
1998-04-01,172.5
1998-05-01,172.9
1998-06-01,173.2
1998-07-01,173.5
1998-08-01,174.0
1998-09-01,174.2
1998-10-01,174.4
1998-11-01,174.8
1998-12-01,175.4
1999-01-01,175.6
1999-02-01,175.6
1999-03-01,175.7
1999-04-01,176.3
1999-05-01,176.5
1999-06-01,176.6
1999-07-01,177.1
1999-08-01,177.3
1999-09-01,177.8
1999-10-01,178.1
1999-11-01,178.4
1999-12-01,178.7
2000-01-01,179.3
2000-02-01,179.4
2000-03-01,180.0
2000-04-01,180.3
2000-05-01,180.7
2000-06-01,181.1
2000-07-01,181.5
2000-08-01,181.9
2000-09-01,182.3
2000-10-01,182.6
2000-11-01,183.1
2000-12-01,183.3
2001-01-01,183.9
2001-02-01,184.4
2001-03-01,184.7
2001-04-01,185.1
2001-05-01,185.3
2001-06-01,186.0
2001-07-01,186.4
2001-08-01,186.7
2001-09-01,187.1
2001-10-01,187.4
2001-11-01,188.1
2001-12-01,188.4
2002-01-01,188.7
2002-02-01,189.1
2002-03-01,189.2
2002-04-01,189.7
2002-05-01,190.0
2002-06-01,190.2
2002-07-01,190.5
2002-08-01,191.1
2002-09-01,191.3
2002-10-01,191.5
2002-11-01,191.9
2002-12-01,192.1
2003-01-01,192.400
2003-02-01,192.5
2003-03-01,192.5
2003-04-01,192.5
2003-05-01,192.9
2003-06-01,193.0
2003-07-01,193.4
2003-08-01,193.6
2003-09-01,193.7
2003-10-01,194.0
2003-11-01,194.0
2003-12-01,194.200
2004-01-01,194.600
2004-02-01,194.9
2004-03-01,195.5
2004-04-01,195.9
2004-05-01,196.2
2004-06-01,196.600
2004-07-01,196.8
2004-08-01,196.9
2004-09-01,197.5
2004-10-01,197.9
2004-11-01,198.3
2004-12-01,198.600
2005-01-01,199.0
2005-02-01,199.400
2005-03-01,200.100
2005-04-01,200.200
2005-05-01,200.5
2005-06-01,200.6
2005-07-01,200.9
2005-08-01,201.100
2005-09-01,201.300
2005-10-01,202.0
2005-11-01,202.5
2005-12-01,202.800
2006-01-01,203.2
2006-02-01,203.6
2006-03-01,204.300
2006-04-01,204.800
2006-05-01,205.400
2006-06-01,205.900
2006-07-01,206.300
2006-08-01,206.800
2006-09-01,207.200
2006-10-01,207.6
2006-11-01,207.800
2006-12-01,208.1
2007-01-01,208.600
2007-02-01,209.135
2007-03-01,209.418
2007-04-01,209.747
2007-05-01,210.058
2007-06-01,210.392
2007-07-01,210.773
2007-08-01,211.119
2007-09-01,211.554
2007-10-01,212.077
2007-11-01,212.660
2007-12-01,213.168
2008-01-01,213.771
2008-02-01,213.939
2008-03-01,214.420
2008-04-01,214.560
2008-05-01,214.936
2008-06-01,215.424
2008-07-01,215.965
2008-08-01,216.393
2008-09-01,216.713
2008-10-01,216.788
2008-11-01,216.947
2008-12-01,216.925
2009-01-01,217.346
2009-02-01,217.792
2009-03-01,218.253
2009-04-01,218.706
2009-05-01,218.904
2009-06-01,219.112
2009-07-01,219.263
2009-08-01,219.496
2009-09-01,219.920
2009-10-01,220.501
2009-11-01,220.666
2009-12-01,220.881
2010-01-01,220.633
2010-02-01,220.731
2010-03-01,220.783
2010-04-01,220.822
2010-05-01,220.962
2010-06-01,221.194
2010-07-01,221.363
2010-08-01,221.509
2010-09-01,221.711
2010-10-01,221.830
2010-11-01,222.149
2010-12-01,222.343
2011-01-01,222.803
2011-02-01,223.213
2011-03-01,223.454
2011-04-01,223.727
2011-05-01,224.175
2011-06-01,224.697
2011-07-01,225.218
2011-08-01,225.862
2011-09-01,226.118
2011-10-01,226.506
2011-11-01,226.899
2011-12-01,227.405
2012-01-01,227.877
2012-02-01,228.034
2012-03-01,228.478
2012-04-01,228.905
2012-05-01,229.224
2012-06-01,229.623
2012-07-01,229.970
2012-08-01,230.233
2012-09-01,230.659
2012-10-01,231.024
2012-11-01,231.330
2012-12-01,231.725
2013-01-01,232.229
2013-02-01,232.569
2013-03-01,232.794
2013-04-01,232.832
2013-05-01,232.996
2013-06-01,233.350
2013-07-01,233.880
2013-08-01,234.336
2013-09-01,234.700
2013-10-01,234.921
2013-11-01,235.359
2013-12-01,235.759
2014-01-01,235.961
2014-02-01,236.185
2014-03-01,236.625
2014-04-01,237.072
2014-05-01,237.529
2014-06-01,237.837
2014-07-01,238.195
2014-08-01,238.405
2014-09-01,238.786
2014-10-01,239.191
2014-11-01,239.458
2014-12-01,239.584
2015-01-01,239.811
2015-02-01,240.172
2015-03-01,240.755
2015-04-01,241.346
2015-05-01,241.688
2015-06-01,242.064
2015-07-01,242.565
2015-08-01,242.817
2015-09-01,243.316
2015-10-01,243.768
2015-11-01,244.241
2015-12-01,244.547
2016-01-01,244.955
2016-02-01,245.510
2016-03-01,245.913
2016-04-01,246.551
2016-05-01,247.137
2016-06-01,247.540
2016-07-01,247.829
2016-08-01,248.423
2016-09-01,248.842
2016-10-01,249.142
2016-11-01,249.481
2016-12-01,249.920
2017-01-01,250.467
2017-02-01,250.998
2017-03-01,250.944
2017-04-01,251.227
2017-05-01,251.430
2017-06-01,251.746
2017-07-01,251.985
2017-08-01,252.535
2017-09-01,252.812
2017-10-01,253.526
2017-11-01,253.816
2017-12-01,254.344
2018-01-01,255.072
2018-02-01,255.568
2018-03-01,256.128
2018-04-01,256.603
2018-05-01,257.151
2018-06-01,257.449
2018-07-01,257.848
2018-08-01,258.028
2018-09-01,258.505
2018-10-01,258.997
2018-11-01,259.455
2018-12-01,259.934
2019-01-01,260.534
2019-02-01,260.885
2019-03-01,261.382
2019-04-01,261.958
2019-05-01,262.321
2019-06-01,262.945
2019-07-01,263.491
2019-08-01,264.135
2019-09-01,264.588
2019-10-01,265.019
2019-11-01,265.461
2019-12-01,265.742
2020-01-01,266.418
2020-02-01,267.083
2020-03-01,266.916
2020-04-01,265.771
2020-05-01,265.606
2020-06-01,266.088
2020-07-01,267.552
2020-08-01,268.662
2020-09-01,269.152
2020-10-01,269.332
2020-11-01,269.816
2020-12-01,269.984
2021-01-01,270.114
2021-02-01,270.522
2021-03-01,271.347
2021-04-01,273.669
2021-05-01,275.715
2021-06-01,277.922
2021-07-01,278.794
2021-08-01,279.306
2021-09-01,280.017
2021-10-01,281.705
2021-11-01,283.179
2021-12-01,284.770
2022-01-01,286.431
2022-02-01,287.878
2022-03-01,288.811
2022-04-01,290.455
2022-05-01,292.289
2022-06-01,294.354
2022-07-01,295.275
